unit,cycle,s2,s3,s4,s7,s8,s9,s11,s12,s13,s14,s15,s17,s20,s21,rul,fault
1,1,-1.7414150279999074,-0.1501103365040496,-0.9425749870453031,1.138498708613346,-0.5179013374753637,-0.9873753217429511,-0.28180218954990616,0.3450683916567898,-1.0702117376867482,-0.309942537582321,-0.6228714675881748,-0.7994597097510929,1.3680675085513923,1.2101561034876906,125,0
1,2,-1.0794379245731196,0.1976039224614213,-0.659581511231375,0.44705822446860854,-0.8017404595606196,-1.0965217493785477,-0.20678982941441412,1.1886399898603266,-0.36817514279079144,-0.7310424299116194,-0.29364153798524106,-0.7994597097510929,1.0347676618455461,1.2526938468084592,125,0
1,3,-0.6782396800718564,-0.43057796991489794,-0.5414818717184908,1.0251478095732018,-0.23406221539010774,-0.6398572148844612,-1.0319257909046933,1.3791238991320731,-0.9298044187050027,-0.6282775193011179,-0.6683747911918158,-2.0953921119688395,0.7570177895907009,0.5184554077499696,125,0
1,4,-0.6782396800718564,-1.2834620013396894,-0.8010782491383517,1.2405145177494887,0.19169646774100302,-0.8179924222519729,-1.5570123118530574,1.9777876139862658,-0.2277678238154311,-0.5928413432285051,-1.9960011739807133,-0.7994597097510929,0.36816796843389377,0.7931012722340497,125,0
1,5,-0.6381198556217756,-1.2736210317463355,-0.3164240681184567,0.7304354720689045,-0.5179013374753637,-0.5260772124908376,-0.9944196108369605,1.066186048185732,-0.7893970997296424,-0.5946131520321196,-0.3578815242492606,-0.15149350864221975,0.47926791733581614,1.0751450051217575,125,0
1,6,-1.1797374856983214,-1.007914852725518,-1.1910298890394044,1.4898864956376512,-1.0855795816458755,-0.8076955894561283,-1.4444937716498594,0.3722803786955886,-0.9298044187050027,-0.6507204308137117,-0.8557414177950793,-1.447425910859966,0.9236677129435844,0.728369923702464,125,0
1,7,-0.41746082114610367,0.27961200240611206,-1.2578787415938604,1.115828528805343,-1.0855795816458755,-0.3211702398542986,-0.6943701702950457,1.243063963938079,-0.9298044187050027,-0.6820223863445392,-1.2144146744356492,-0.7994597097510929,1.5902674063552764,0.8254669464998754,125,0
1,8,-0.25698152334578084,-1.2555792541584825,-0.9013515279700358,0.5604091235087527,-1.3694187037311314,-1.2648749655900164,-1.144444331107918,1.4471538667292247,-0.9298044187050027,-0.7558477531624375,-0.9413947328137087,-1.447425910859966,0.8681177384926233,0.20774493479826636,125,0
1,9,-1.1396176612482407,0.05983034815435427,-1.5887805617384712,0.37904768504459935,-0.6598208985147648,-0.9734745974686827,-0.9569134307692277,0.5219463074091368,-0.6489897807478971,-1.0735921319466784,-1.8728745336414216,-0.7994597097510929,1.3125175341003916,1.0954891432317089,125,0
1,10,-1.9620740624755795,0.10247454972559197,-0.958173052641331,0.26569678600445523,-0.6598208985147648,-0.703697578218454,-1.9320741125304643,0.5219463074091368,-0.5085824617725367,-0.8556596491002124,-0.37929485300391796,-0.15149350864221975,0.7570177895907009,1.6762218129152453,125,0
